hardware_keywords,software_keywords,urgency_score,log_lines_attached,reporter_seniority,hour_of_day,category
5,5,5.2,96,4,15,Firmware
5,2,3.1,60,4,10,Firmware
4,2,3.6,36,3,15,Firmware
1,11,3.8,37,2,2,Software
3,6,4.0,68,4,6,Software
3,2,3.3,31,5,9,Firmware
1,3,3.7,66,2,18,Firmware
7,1,3.1,20,2,4,Hardware
1,5,1.7,69,5,5,Software
0,9,2.8,65,4,14,Software
6,0,3.0,8,2,19,Hardware
4,4,3.2,3,3,10,Firmware
4,2,2.9,10,4,17,Firmware
0,8,3.4,36,5,21,Software
0,12,4.8,75,2,20,Software
0,7,2.4,129,2,23,Software
1,0,1.0,12,3,7,Documentation
1,10,1.9,121,3,7,Software
2,6,4.0,51,3,11,Firmware
6,0,3.8,66,1,4,Firmware
1,8,4.0,77,1,7,Software
0,0,6.6,114,5,9,Performance
0,0,8.8,82,3,14,Performance
1,1,1.0,52,4,2,Documentation
4,0,3.6,54,4,17,Hardware
1,11,2.9,68,2,6,Software
2,3,1.7,35,5,11,Documentation
1,12,3.0,32,1,4,Software
9,1,2.5,18,4,12,Hardware
1,9,2.3,101,3,4,Software
6,2,3.3,31,4,1,Hardware
0,3,1.0,34,2,15,Documentation
2,5,8.1,108,1,21,Security
3,3,4.1,28,5,10,Firmware
3,5,5.8,122,1,18,Security
9,0,2.0,44,1,19,Hardware
4,5,2.8,162,3,11,Performance
1,8,4.7,61,5,3,Software
8,0,3.4,29,3,7,Hardware
7,1,3.5,39,3,2,Hardware
5,2,4.3,45,4,15,Firmware
2,6,3.2,84,1,22,Firmware
3,0,5.0,70,1,9,Performance
3,2,4.0,51,4,6,Firmware
2,6,4.4,140,2,23,Software
0,5,6.1,58,3,21,Performance
8,1,2.6,67,3,22,Hardware
1,4,7.3,67,3,10,Security
0,7,3.8,61,3,5,Software
2,4,9.1,88,4,12,Security
0,5,3.4,73,2,4,Firmware
0,8,1.5,126,2,19,Software
1,7,4.0,112,2,13,Software
1,6,6.9,102,4,0,Security
7,0,2.9,63,4,17,Hardware
1,0,1.0,25,4,20,Documentation
5,2,2.6,25,4,0,Firmware
3,4,7.4,76,5,0,Security
0,2,1.0,10,1,20,Documentation
5,0,2.2,51,5,1,Hardware
2,0,4.1,156,5,14,Performance
4,4,3.9,16,4,11,Firmware
7,0,1.4,42,1,16,Hardware
5,3,5.6,56,4,15,Firmware
1,9,1.2,55,5,13,Software
1,2,1.0,28,3,12,Documentation
0,4,4.6,73,4,20,Security
3,1,8.2,122,4,9,Performance
10,1,1.2,40,5,5,Hardware
1,5,3.6,50,3,13,Software
0,9,3.1,39,5,12,Software
6,2,1.6,40,2,7,Hardware
0,8,2.0,86,2,3,Software
0,8,1.7,23,4,16,Software
0,2,1.3,14,3,22,Documentation
4,5,3.8,64,1,4,Firmware
